sep=;
Device ID;LBR-0002092;;
Series No;0085
Shot No;0005

Time (s);Vel (fps);Dist (yd);SNR
0.000000;2772.67;0.00;-
0.007021;2763.61;6.47;30.97
0.008021;2757.51;7.39;33.16
0.009021;2761.03;8.31;28.80
0.010021;2757.61;9.23;28.93
0.011021;2756.07;10.14;28.46
0.012021;2754.35;11.06;28.67
0.013021;2753.79;11.98;27.86
0.014021;2752.28;12.90;26.72
0.015021;2751.75;13.82;25.00
0.016021;2749.11;14.73;23.14
0.017021;2748.89;15.65;22.12
0.018021;2746.70;16.56;22.70
0.019021;2746.84;17.48;22.44
0.020021;2744.58;18.40;21.80
0.021021;2743.94;19.31;20.82
0.022021;2742.36;20.22;19.96
0.023021;2742.43;21.14;20.14
0.024021;2738.86;22.05;17.04
0.025021;2736.87;22.96;19.36
0.026021;2737.23;23.88;18.50
0.027021;2734.28;24.79;17.05
0.028021;2735.95;25.70;19.03
0.029021;2734.02;26.61;16.81
0.030021;2730.32;27.52;16.23
0.031021;2726.25;28.43;15.02
0.032021;2721.99;29.34;16.40
0.033021;2723.87;30.25;13.69
0.034021;2725.07;31.16;17.16
0.035021;2731.63;32.07;9.68
0.036021;2719.19;32.97;12.45
0.037021;2723.81;33.88;14.03
0.038021;2722.26;34.79;11.15
0.039021;2717.43;35.70;15.30
0.040021;2717.48;36.60;13.81
0.041021;2718.03;37.51;10.14
0.043021;2714.05;39.32;10.41
0.044021;2708.37;40.22;15.32
0.045021;2712.04;41.13;11.97
0.046021;2702.54;42.03;9.88
0.047021;2702.27;42.93;9.31
0.049021;2707.73;44.73;8.78
0.051021;2706.79;46.54;9.07
0.052021;2695.11;47.44;10.00
0.057021;2686.44;51.92;8.12
0.058021;2702.60;52.82;8.95
